date;team;place;points;type;difficulty;points_1p;points_2p;points_3p;points_max
18.01.23;2, 3, 4, 5, 6, 7, 9, 10;3;43;c;0,76;49;44;43;60
24.01.23;11, 7, 8, 3, 2, 5, 6, 1, 12;1;48;c;0,73;48;43;41;60
01.02.23;1, 13, 5, 11, 9, 4, 6, 2, 14;1;51;c;0,82;51;49;47;60
08.02.23;1, 7, 9, 2, 5, 6, 11,  3, 4;2;50;c;0,81;50;50;45;60
15.02.23;6, 3, 4, 2, 1, 13, 7, 11, 8;2;50;c;0,83;53;50;46;60
22.02.23;1, 13, 6, 7, 11, 2, 5, 14;1;49;c;0,73;49;42;41;60
01.03.23;1, 3, 4, 2, 7, 5, 8, 14, 6;1;49;f;0,73;49;42;41;60
09.03.23;1, 3, 4, 2, 7, 5, 8, 14, 6;4;42;c;0,78;50;47;44;60
15.03.23;1, 7, 5, 8, 3, 9, 6, 4, 11;2;46;c;0,77;47;46;46;60
23.03.23;11, 9, 7, 8, 6, 2, 5, 4, 3;4;51;c;0,87;53;52;51;60
29.03.23;1, 3, 4, 5, 6, 7, 8, 2, 11;1;42;c;0,68;42;40;40;60
05.04.23;1, 5, 6, 7, 8, 11, 3, 4, 2;3;47;c;0,81;50;48;47;60
12.04.23;5, 2, 6, 3, 4, 1, 9, 8,13;5;49;c;0,88;56;51;51;60
19.04.23;1, 5, 11, 2, 3, 4, 6, 8, 7;1;42;c;0,68;42;41;39;60
26.04.23;1, 3, 4, 11, 5, 7, 8, 6, 2;3;47;c;0,79;49;47;47;60
03.05.23;6, 8, 7, 4, 9, 11, 3, 2;6;48;c;0,89;58;53;50;60
10.05.23;1, 13, 8, 7, 6, 15, 16, 5, 17;1;52;c;0,85;52;51;50;60
17.05.23;6, 1, 13, 3, 4, 2, 11, 7, 18;1;51;c;0,85;51;51;51;60
24.05.23;1, 13, 15, 8, 7, 5, 3, 2, 6;2;45;c;0,75;48;45;42;60
31.05.23;2, 8, 14, 4, 6, 7, 5, 3, 1;4;37,5;f;0,75;43;42;41;60
07.06.23;1, 13, 11, 10, 3, 4, 6, 5, 14;2;44;c;0,75;48;44;43;60
14.06.23;17, 5, 11, 14, 7, 3, 4, 6;13;33;c;0,78;52;45;44;60
21.06.23;1, 5,3,7,11,8,6,4;5;44;c;0,81;50;49;46;60
28.06.23;1, 17, 3, 7, 6, 2, 4, 5, 8;1;45;c;0,69;45;40;39;60
05.07.23;1, 13, 6, 3, 7, 5, 11, 8, 4;1;53;c;0,82;53;48;47;60
12.07.23;1,13,6,3,11,7,5,2,4;1;52;c;0,81;52;48;46;60
19.07.23;1,3,19,6,11,5,7,17, 20;6;38;c;0,72;44;43;43;60
26.07.23;1,6,17,11,5,2,20,21,18;1;49;c;0,79;49;48;45;60
02.08.23;1,6,5,3,4,7,2,11,18;5;44;c;0,81;52;49;45;60
09.08.23;1,6,3,5,7,17,11,8,22;3;43;c;0,76;50;44;43;60
16.08.23;1,6,3,17,7,8,2,4;3;47;c;0,82;54;47;47;60
23.08.23;1,3,17,11,6,8,7,5;2;50;c;0,82;51;50;47;60
30.08.23;1,8,6,4,7,3,2,5,11;1;53;c;0,78;53;44;44;60
03.09.23;1,13,11,5,7,6,23,17,2;1;50;f;0,85;50;50;48;60
06.09.23;1,3,6,23,5,4,7,11,17;2;50;c;0,85;53;50;50;60
13.09.23;1,6,5,7,11,8,3,4,2;6;45;c;0,81;53;50;47;60
20.09.23;1,6,2,7,3,5,8;1;51;c;0,74;51;49;45;60
27.09.23;1,17,5,6,23,7,8,2;1;47;c;0,74;47;44;43;60
04.10.23;1,6,23,11,5,7,2,3, 24;6;45;c;0,87;53;52;52;60
11.10.23;1,6,23,5,8,3,4,25;2;43;c;0,83;54;48;48;60
18.10.23;6,5,17,11,7,8,2,4;3;45;c;0,77;47;46;45;60
25.10.23;7,2,11,1,5,6,8,4,3;5;49;c;0,86;53;51;51;60
01.11.23;1,17,4,2,5,3,6,26, 21;2;45;c;0,73;46;45;41;60
08.11.23;2,17,7,5,4,3,6;6;49;c;0,9;54;54;54;60
15.11.23;1,6,23,7,11,17,18;3;49;c;0,82;50;49;49;60
22.11.23;1,5,6,23,17,8,11,7,2;1;55;c;0,89;55;54;52;60
29.11.23;1,13,6,23,4,11,7,8;6;38;c;0,82;55;46;46;60
03.12.23;1,17,11,7,2,8,6,3,10;5;39,5;f;0,77;48,5;46,5;44;60
06.12.23;1,6,26,27,5,8,7,3,4;2;53;c;0,89;55;53;53;60
13.12.23;1,5,3,6,7,11,8,4,17;11;42;c;0,86;52;52;50;60
20.12.23;6,1,11,3,4,26,17;2;49;c;0,82;49;49;49;60
27.12.23;2,1,6,23,3,4,5,7,26;2;55;c;0,91;56;55;52;60
10.01.24;11,3,17,4,26,21,12;8;36;c;0,79;53;45;45;60
17.01.24;1, 12, 3, 6,4,25;6;41;c;0,78;48;48;45;60
24.01.24;1,6,11,29,5,25;7;39;c;0,76;46;46;45;60
31.01.24;6,5,1,3,11,4,25,7;8;41;c;0,85;52;51;50;60
07.02.24;1,30,6,11,4,26,3,3,17;4;45;c;0,77;47;46;45;60
14.02.24;1,6,3,4,17,26,21;8;34;c;0,74;46;45;42;60
21.02.24;7,11,4,3,17,6;6;43;c;0,81;52;48;46;60
28.02.24;1,6,11,17,26,7,12,8;2;55;c;0,91;56;55;53;60
03.03.24;1,23,6,3,7,11,8,26,17;3;45;f;0,76;46;45,5;45;60
